filename,site,size,footprint,height,num_stories,num_units,num_adiabatic,inf_rate,orientation,wwr,frame,polyiso_t,cellulose_t,setback,rear_setback,side_setback,structure_setback,assembly_r,area_buildable,surf_area,volume,surf_vol_ratio,cooling,heating,lighting,equip,water,eui_kwh_m2,eui_kbtu_ft2,carbon_kg,co2e_kg
1038_w_40_0_1_0_0_1_1.csv,0,600,600,10,1,1,1,0.00015,4,0.4,0,1,0,0,0,5,5,10.73322927,810.1583246,2180.06687,6000,0.363344478,2.235135163,54.26378929,0.827889919,12.20188503,11.13055157,2.196107796,80.65925097,1924.239906,0.135669
1039_w_20_4_0_1_0_1_1.csv,1,600,600,10,1,1,1,0.00059,4,0.2,3,0,9.25,0,5,5,5,34.74109338,1050.646485,2224.967972,6000,0.370827995,1.290128118,83.83825815,0.826218304,12.20188503,11.13055157,2.975556061,109.2870412,2607.196115,0.135669
104_s_40_5_1_1_1_2_1.csv,1,900,450,20,2,1,2,0.00015,2,0.4,3,1,9.25,1,0,5,5,41.74109749,1170.409731,2706.029577,9000,0.300669953,4.8637502,47.24674987,0.792572228,12.20188503,11.13055157,2.07566266,76.2355089,2728.057973,0.135669
1040_s_50_5_1_1_0_1_2.csv,1,800,800,10,1,2,2,0.00015,2,0.5,3,1,9.25,0,5,5,5,41.74109749,1050.646485,2783.531069,8000,0.347941384,2.162229657,50.0828888,0.804625073,12.20188503,11.13055157,2.079656075,76.38218013,2429.605818,0.135669
1041_s_10_2_0_3_0_1_1.csv,3,800,800,10,1,1,1,0.00059,2,0.1,1,0,5.5,0,5,5,5,22.17033599,1972.217303,2741.453392,8000,0.342681674,0.759664264,73.53322095,0.877930923,12.20188503,11.13055157,2.681946071,98.50325273,3133.244895,0.135669
1042_s_20_0_1_1_1_1_2.csv,1,400,400,10,1,2,2,0.00015,2,0.2,0,1,0,1,0,5,5,10.73322927,1170.409731,1651.370507,4000,0.412842627,2.390877536,57.80321287,0.800776157,12.20188503,11.13055157,2.295977779,84.32730317,1341.164301,0.135669
1043_s_50_1_0_2_0_2_1.csv,2,700,350,20,2,1,2,0.00059,2,0.5,0,0,3.5,0,0,5,5,15.46593205,1619.025972,2294.599393,7000,0.327799913,7.213185877,102.7300694,0.78538877,12.20188503,11.13055157,3.650078334,134.0610807,3731.251628,0.135669
1044_w_50_2_0_3_1_1_2.csv,3,1000,1000,10,1,2,2,0.00059,4,0.5,1,0,5.5,1,0,5,5,22.17033599,2225.954944,3268.272967,10000,0.326827297,2.454191185,80.49879032,0.80513648,12.20188503,11.13055157,2.915752365,107.0905546,4257.993063,0.135669
1045_w_50_0_0_3_1_2_1.csv,3,700,350,20,2,1,2,0.00059,4,0.5,0,1,0,1,0,5,5,10.73322927,2225.954944,2200.640812,7000,0.314377259,6.3938626,100.66314,0.788924028,12.20188503,11.13055157,3.571590645,131.1783632,3651.018468,0.135669
1046_e_30_3_0_1_1_1_1.csv,1,800,800,10,1,1,1,0.00059,3,0.3,2,0,7.25,1,0,5,5,28.03668944,1170.409731,2804.019718,8000,0.350502465,1.246116725,80.93812148,0.829717841,12.20188503,11.13055157,2.895491083,106.3463926,3382.723744,0.135669
1047_e_40_1_1_1_1_2_1.csv,1,1000,500,20,2,1,2,0.00015,3,0.4,0,0,3.5,1,0,5,5,15.46593205,1170.409731,2903.722329,10000,0.290372233,4.308637205,48.72201352,0.797242816,12.20188503,11.13055157,2.100842749,77.16033014,3067.947045,0.135669
1048_e_10_4_0_0_0_2_1.csv,0,600,300,20,2,1,2,0.00059,3,0.1,3,0,9.25,0,0,5,5,34.74109338,810.1583246,1986.023859,6000,0.331003977,1.762181919,77.81814057,0.856718026,12.20188503,11.13055157,2.825329456,103.7694771,2475.566863,0.135669
1049_w_20_3_1_1_0_2_1.csv,1,800,400,20,2,1,2,0.00015,4,0.2,2,0,7.25,0,5,5,5,28.03668944,1050.646485,2473.765689,8000,0.309220711,3.073112302,38.54459054,0.811520678,12.20188503,11.13055157,1.790491391,65.76166012,2091.782557,0.135669
105_s_60_1_0_2_0_1_1.csv,2,600,600,10,1,1,1,0.00059,2,0.6,0,0,3.5,0,0,5,5,15.46593205,1619.025972,2243.910346,6000,0.373985058,4.543535755,101.0755602,0.788558398,12.20188503,11.13055157,3.532430834,129.740091,3095.132392,0.135669
1050_w_10_1_1_3_0_2_1.csv,3,1000,500,20,2,1,2,0.00015,4,0.1,0,0,3.5,0,5,5,5,15.46593205,1972.217303,2804.796281,10000,0.280479628,2.301301094,33.33763629,0.849534412,12.20188503,11.13055157,1.628742664,59.82090839,2378.519879,0.135669
1051_s_40_2_0_2_0_1_1.csv,2,400,400,10,1,1,1,0.00059,2,0.4,1,0,5.5,0,0,5,5,22.17033599,1619.025972,1652.349228,4000,0.413087307,4.003362842,106.1865105,0.790232423,12.20188503,11.13055157,3.656924875,134.3125423,2136.143101,0.135669
1053_w_10_1_1_1_1_2_1.csv,1,600,300,20,2,1,2,0.00015,4,0.1,0,0,3.5,1,0,5,5,15.46593205,1170.409731,2074.616975,6000,0.345769496,2.713501733,43.52862789,0.828201728,12.20188503,11.13055157,1.91685474,70.40276795,1679.557074,0.135669
1054_e_40_0_1_3_0_1_2.csv,3,400,400,10,1,2,2,0.00015,3,0.4,0,1,0,0,5,5,5,10.73322927,1972.217303,1607.129434,4000,0.401782358,3.06774823,63.34497924,0.798545984,12.20188503,11.13055157,2.465231764,90.54371005,1440.031722,0.135669
1055_e_30_3_1_2_0_1_1.csv,2,800,800,10,1,1,1,0.00015,3,0.3,2,0,7.25,0,0,5,5,28.03668944,1619.025972,2805.403838,8000,0.35067548,1.473330181,41.13909702,0.813524194,12.20188503,11.13055157,1.817629281,66.75838799,2123.487018,0.135669
1056_s_60_1_1_0_0_1_2.csv,0,800,800,10,1,2,2,0.00015,2,0.6,0,0,3.5,0,0,5,5,15.46593205,810.1583246,2731.683742,8000,0.341460468,1.480528975,56.33583457,0.810314269,12.20188503,11.13055157,2.231499152,81.95911441,2606.999969,0.135669
1057_n_10_2_1_2_1_2_1.csv,2,1000,500,20,2,1,2,0.00015,1,0.1,1,0,5.5,1,0,5,5,22.17033599,1619.025972,2905.910814,10000,0.290591081,2.34493981,31.08565652,0.830478135,12.20188503,11.13055157,1.568097362,57.59351106,2289.957051,0.135669
1058_w_10_0_0_1_1_1_2.csv,1,600,600,10,1,2,2,0.00059,4,0.1,0,1,0,1,0,5,5,10.73322927,1170.409731,2242.711663,6000,0.373785277,1.326508647,89.95190255,0.867670786,12.20188503,11.13055157,3.144131291,115.4785186,2754.902519,0.135669
1059_w_10_5_0_0_0_1_1.csv,0,400,400,10,1,1,1,0.00059,4,0.1,3,1,9.25,0,0,5,5,41.74109749,810.1583246,1600.221248,4000,0.400055312,0.877305091,87.55159985,0.894384644,12.20188503,11.13055157,3.06727518,112.6557262,1791.707224,0.135669
106_w_50_4_0_1_1_1_2.csv,1,400,400,10,1,2,2,0.00059,4,0.5,3,0,9.25,1,0,5,5,34.74109338,1170.409731,1651.370507,4000,0.412842627,4.135270222,113.1290469,0.789876045,12.20188503,11.13055157,3.84953091,141.3866297,2248.651306,0.135669
1060_n_50_2_0_2_0_2_1.csv,2,600,300,20,2,1,2,0.00059,1,0.5,1,0,5.5,0,0,5,5,22.17033599,1619.025972,2076.312169,6000,0.346052028,7.659307412,106.8333157,0.784453043,12.20188503,11.13055157,3.773918401,138.6095127,3306.724926,0.135669
