,orient,wwr,glazing,shading,shgc,inf_rate,exterior_mat,exterior_t (in),interior_mat,interior_t (in),Embodied (kg CO2e / ft2),Win Embodied (kg CO2e / ft2),Wall Embodied (kg CO2e / ft2),Operational (kg CO2e / ft2 * year),Cooling EUI (kBtu / ft2 * year),Heating EUI (kBtu / ft2 * year),Lighting EUI (kBtu / ft2 * year),Wall R (ft2 * F * h / BTU),city,program,city_gwp,tot_eui_kwh,area,payback_linear,Total GWP Linear (kg CO2e / ft2) 50 year,Op GWP Linear (kg CO2e / ft2) 50 year,Total GWP non-linear 2% (kg CO2e / ft2) 50 year,Op GWP non-linear 2% (kg CO2e / ft2) 50 year,Total GWP non-linear 3% (kg CO2e / ft2) 50 year,Op GWP non-linear 3% (kg CO2e / ft2) 50 year,Total GWP non-linear 5% (kg CO2e / ft2) 50 year,Op GWP non-linear 5% (kg CO2e / ft2) 50 year
se_e_0_10_0_residential_glz.json,e,0.0,Triple,0.0,0.25,0.00059,Polyiso,4.0,Cellulose,9.25,2.49364201976972,0.0,2.49364201976972,1.3739959455564400,1.6309619620078800,4.48540650665718,1.9252056155166500,62.7,Seattle,residential,0.135669,9620.179244814980,949.900982012169,1.81,71.19343929759190,68.69979727782220,37.530538631459,35.03689661168930,26.085152404973800,23.591510385204100,16.92059944811240,14.426957428342600
at_e_80_8_0_residential_glz.json,e,0.8,Triple,0.0,0.25,0.00059,Polyiso,2.0,Cellulose,9.25,3.235623488621090,2.8536913354234400,0.38193215319765300,6.666397283226250,23.40360688515410,5.379534424424310,1.6267572998343700,48.7,Atlanta,residential,0.399590512,15847.266478188700,949.900982012169,0.49,336.5554876499340,333.3198641613130,173.2287542108900,169.9931307222690,117.69766484161600,114.46204135299500,73.23279496249670,69.99717147387560
la_n_60_2_1_office_glz.json,n,0.6,Triple,0.0,0.25,0.0003,Polyiso,1.0,Cellulose,0.0,4.489513831237620,3.5331449127970800,0.9563689184405380,1.4291477150029800,8.215030197458950,1.9151328385276700,4.198912927787810,10.7,Los Angeles,office,0.175630822,18160.351541796200,2231.76193448134,3.14,75.9468995813867,71.45738575014910,40.93278056381360,36.44326673257590,29.02798009783880,24.538466266601200,19.4955648387689,15.006051007531300
at_w_20_10_2_residential_glz.json,w,0.2,Triple,0.0,0.25,0.00015,Polyiso,4.0,Cellulose,9.25,2.7083364496716400,0.7134228338558600,1.994913615815780,5.204381222638240,14.972159411130400,1.2003338603431100,1.7531162190456100,62.7,Atlanta,residential,0.399590512,12371.782326377600,949.900982012169,0.52,262.9273975815840,260.21906113191200,135.4200576269470,132.71172117727500,92.0675620423703,89.35922559269870,57.35433928737320,54.64600283770160
la_s_20_9_0_office_glz.json,s,0.2,Triple,0.0,0.25,0.00059,Polyiso,5.0,Cellulose,6.0,5.089813313799420,1.1777149709323600,3.9120983428670600,1.4890146931940100,9.429187765691600,1.1462327399546,4.916745789532210,60.9,Los Angeles,office,0.175630822,18921.08841894390,2231.76193448134,3.42,79.54054797349980,74.4507346597004,43.05968799024660,37.969874676447200,30.65619559594050,25.566382282141100,20.724467592336500,15.634654278537100
sa_w_80_4_1_office_glz.json,w,0.8,Triple,0.0,0.25,0.0003,Polyiso,0.0,Cellulose,6.0,5.206867751811100,4.710859883729440,0.4960078680816600,8.348884453410640,47.79360049847660,3.695109545127510,3.8338966058660200,25.9,San Antonio,office,0.414311,44972.79222252110,2231.76193448134,0.62,422.6510904223430,417.4442226705320,218.1034213137820,212.8965535619710,148.55721381687200,143.35034606506100,92.87015451262280,87.66328676081170
ny_e_20_11_0_residential_glz.json,e,0.2,Triple,0.0,0.25,0.00059,Polyiso,5.0,Cellulose,9.25,2.9419289511842200,0.7134228338558600,2.228506117328360,2.3163954430550500,9.945106123364020,7.811518654656830,1.801948140347200,69.7,New York,residential,0.171548494,12826.38077887470,949.900982012169,1.27,118.76170110393700,115.81977215275200,62.01001274908810,59.06808379790380,42.71443870843940,39.7725097572552,27.264081103262200,24.322152152078000
mi_n_40_3_0_office_glz.json,n,0.4,Triple,0.0,0.25,0.00059,Polyiso,0.0,Cellulose,4.0,3.6565676140862300,2.355429941864720,1.3011376722215100,7.850312499027030,7.593967542080620,21.604818192288400,5.259400201442260,18.5,Milwaukee,office,0.559278936,31326.101308974800,2231.76193448134,0.47,396.1721925654380,392.51562495135200,203.8395363392760,200.18296872518900,138.4464332223800,134.78986560829400,86.08484885387,82.42828123978380
at_s_20_8_0_residential_glz.json,s,0.2,Triple,0.0,0.25,0.00059,Polyiso,2.0,Cellulose,9.25,2.24115144664647,0.7134228338558600,1.5277286127906100,5.60519457111868,16.40256011144210,3.148049246872430,1.7975820449704500,48.7,Atlanta,residential,0.399590512,13324.590218185400,949.900982012169,0.4,282.50088000258100,280.25972855593400,145.17361301017300,142.93246156352600,98.48234223275430,96.2411907861078,61.09569444339260,58.85454299674620
mi_n_80_5_0_residential_glz.json,n,0.8,Triple,0.0,0.25,0.00059,Polyiso,0.0,Cellulose,7.25,3.096371368439530,2.8536913354234400,0.24268003301609000,9.112913190529560,6.601870937160230,20.794276677715000,1.6863183379939800,28.0,Milwaukee,residential,0.559278936,15477.724318721100,949.900982012169,0.34,458.742030894918,455.6456595264790,235.47565772694300,232.37928635850400,159.56509084983200,156.46871948139300,98.78195986899990,95.68558850056030
