filename,site,size,footprint,height,num_stories,num_adiabatic,inf_rate,orientation,WWR,frame,polyiso_t,cellulose_t,setback,rear_setback,side_setback,structure_setback,assembly_r,area_buildable,surf_area,volume,surf_vol_ratio,EUI,carbon,kgCO2e
n_10_3_1_2_1_1,2,200,200,10,1,1,0.00015,1,0.1,2,0,7.25,1,0,5,5,4.937546531,1619.025972,1002.701919,2000,0.50135096,137.574,1094.006949,0.135669
n_20_4_0_0_0_1,0,200,200,10,1,1,0.00059,1,0.2,3,0,9.25,0,0,5,5,6.118260341,810.1583246,965.841871,2000,0.482920935,137.784,1095.678247,0.135669
n_20_4_0_0_1_1,0,200,200,10,1,1,0.00059,1,0.2,3,0,9.25,1,0,5,5,6.118260341,810.1583246,965.841871,2000,0.482920935,137.784,1095.678247,0.135669
n_20_4_1_0_0_1,0,200,200,10,1,1,0.00015,1,0.2,3,0,9.25,0,0,5,5,6.118260341,810.1583246,965.841871,2000,0.482920935,137.784,1095.678247,0.135669
n_20_4_1_0_1_1,0,200,200,10,1,1,0.00015,1,0.2,3,0,9.25,1,0,5,5,6.118260341,810.1583246,965.841871,2000,0.482920935,137.784,1095.678247,0.135669
n_20_3_0_3_1_1,3,200,200,10,1,1,0.00059,1,0.2,2,0,7.25,1,0,5,5,4.937546531,2225.954944,967.1889137,2000,0.483594457,137.879,1096.429449,0.135669
n_20_3_1_3_1_1,3,200,200,10,1,1,0.00015,1,0.2,2,0,7.25,1,0,5,5,4.937546531,2225.954944,967.1889137,2000,0.483594457,137.879,1096.429449,0.135669
n_10_3_0_1_1_1,1,200,200,10,1,1,0.00059,1,0.1,2,0,7.25,1,0,5,5,4.937546531,1170.409731,1002.009859,2000,0.50100493,137.906,1096.643718,0.135669
n_10_3_1_1_1_1,1,200,200,10,1,1,0.00015,1,0.1,2,0,7.25,1,0,5,5,4.937546531,1170.409731,1002.009859,2000,0.50100493,137.906,1096.643718,0.135669
n_20_3_0_3_0_1,3,200,200,10,1,1,0.00059,1,0.2,2,0,7.25,0,5,5,5,4.937546531,1972.217303,970.726696,2000,0.485363348,138.305,1099.817419,0.135669
n_20_3_1_3_0_1,3,200,200,10,1,1,0.00015,1,0.2,2,0,7.25,0,5,5,5,4.937546531,1972.217303,970.726696,2000,0.485363348,138.305,1099.817419,0.135669
n_10_2_0_1_0_1,1,200,200,10,1,1,0.00059,1,0.1,1,0,5.5,0,5,5,5,3.904421947,1050.646485,991.7655344,2000,0.495882767,138.947,1104.924583,0.135669
n_10_2_1_1_0_1,1,200,200,10,1,1,0.00015,1,0.1,1,0,5.5,0,5,5,5,3.904421947,1050.646485,991.7655344,2000,0.495882767,138.947,1104.924583,0.135669
n_20_3_0_0_0_1,0,200,200,10,1,1,0.00059,1,0.2,2,0,7.25,0,0,5,5,4.937546531,810.1583246,965.841871,2000,0.482920935,139.251,1107.342041,0.135669
n_20_3_0_0_1_1,0,200,200,10,1,1,0.00059,1,0.2,2,0,7.25,1,0,5,5,4.937546531,810.1583246,965.841871,2000,0.482920935,139.251,1107.342041,0.135669
